#{"t_start": 1681919817.437588, "env_id": null}
r,l,t
938.650917,2,0.005678
242.7387,2,0.008518
667.4305,2,0.009449
382.865895,2,0.010221
598.357798,2,0.010952
938.02375,2,0.011701
282.79143,2,0.012433
695.2289,2,0.01314
375.0365,2,0.013813
610.655317,2,0.014482
242.7387,2,0.015144
375.2874,2,0.01582
874.62375,2,0.0165
639.893517,2,0.017197
706.10375,2,0.017867
872.261917,2,0.018533
763.52575,2,0.019216
790.677333,2,0.019852
0.0,2,0.020473
432.0731,2,0.02109
639.255833,2,0.021708
235.367917,2,0.022326
841.518633,2,0.022942
766.877798,2,0.02356
874.62375,2,0.024181
667.020633,2,0.024801
896.30375,2,0.025411
597.535833,2,0.026026
257.3578,2,0.026644
872.261917,2,0.027253
826.899533,2,0.027858
697.13675,2,0.028463
799.798633,2,0.029078
784.699333,2,0.029717
242.7387,2,0.030378
639.883,2,0.031033
790.36375,2,0.031653
667.020633,2,0.032272
769.50375,2,0.032902
82.6425,2,0.033534
498.283333,2,0.03416
639.255833,2,0.034795
703.293517,2,0.035438
703.293517,2,0.036057
725.157798,2,0.036679
829.91475,2,0.037311
464.757833,2,0.03793
769.50375,2,0.038534
767.504965,2,0.039142
674.055317,2,0.039763
875.250917,2,0.040372
502.909365,2,0.040976
842.1458,2,0.041587
784.699333,2,0.042245
896.30375,2,0.042865
672.998633,2,0.043484
827.5267,2,0.0441
282.79143,2,0.044733
917.477333,2,0.045359
27.5475,2,0.046012
607.666317,2,0.046684
799.798633,2,0.047361
785.179533,2,0.048006
725.157798,2,0.048631
639.255833,2,0.049276
574.871847,2,0.049914
127.621965,2,0.050577
959.8245,2,0.051224
319.9415,2,0.051824
706.10375,2,0.052411
639.255833,2,0.053007
319.627917,2,0.053583
832.90375,2,0.054161
375.2874,2,0.054726
959.510917,2,0.055292
636.904517,2,0.055862
592.379798,2,0.056452
763.52575,2,0.057056
55.095,2,0.057692
182.716965,2,0.058547
575.18543,2,0.059499
319.9415,2,0.060322
724.4671,2,0.061027
703.293517,2,0.061695
577.5502,2,0.062335
55.095,2,0.062984
725.157798,2,0.063621
658.379533,2,0.06425
255.24393,2,0.064883
282.79143,2,0.065507
610.655317,2,0.066137
766.877798,2,0.066762
502.909365,2,0.067388
695.2289,2,0.068013
182.716965,2,0.068638
938.02375,2,0.06923
487.622847,2,0.069809
694.915317,2,0.070369
607.666317,2,0.070926
958.88375,2,0.071471
724.4671,2,0.072028
235.367917,2,0.072577
917.16375,2,0.073121
763.52575,2,0.073673
672.998633,2,0.074224
672.998633,2,0.074805
202.2628,2,0.075352
799.798633,2,0.075897
610.655317,2,0.076445
695.2289,2,0.076993
959.510917,2,0.077541
672.998633,2,0.078097
799.798633,2,0.078645
382.865895,2,0.079195
872.261917,2,0.079738
625.083333,2,0.080287
432.0731,2,0.080837
592.1693,2,0.081385
607.666317,2,0.081924
502.909365,2,0.082477
598.357798,2,0.083061
554.011847,2,0.08378
636.904517,2,0.084372
404.5256,2,0.084948
694.915317,2,0.085511
575.18543,2,0.086067
766.877798,2,0.086621
938.02375,2,0.08717
287.473917,2,0.087722
826.899533,2,0.088279
82.6425,2,0.088827
554.011847,2,0.089368
502.909365,2,0.089915
700.12575,2,0.090459
127.621965,2,0.091007
319.627917,2,0.09155
55.095,2,0.092101
457.50673,2,0.092644
639.255833,2,0.093188
597.535833,2,0.093734
784.38575,2,0.094273
636.904517,2,0.094818
917.16375,2,0.095358
790.677333,2,0.095905
606.7884,2,0.09645
298.767917,2,0.096993
639.255833,2,0.09753
832.90375,2,0.098074
700.12575,2,0.098625
763.52575,2,0.099173
724.4671,2,0.099752
636.904517,2,0.100301
639.883,2,0.10084
607.666317,2,0.101407
799.798633,2,0.101953
375.0365,2,0.102501
498.283333,2,0.103044
959.197333,2,0.103587
799.798633,2,0.104134
790.677333,2,0.10468
829.91475,2,0.105218
674.055317,2,0.105759
375.2874,2,0.106294
255.24393,2,0.106831
554.011847,2,0.107367
202.2628,2,0.107914
282.79143,2,0.108452
319.627917,2,0.108993
464.757833,2,0.109535
502.909365,2,0.110078
875.250917,2,0.110618
382.865895,2,0.111157
575.18543,2,0.111696
402.8349,2,0.112236
938.650917,2,0.112773
958.88375,2,0.113317
235.367917,2,0.113855
402.8349,2,0.114404
832.90375,2,0.114949
841.518633,2,0.115491
652.401533,2,0.116055
490.611847,2,0.116633
187.6437,2,0.117249
871.63475,2,0.117859
502.909365,2,0.118442
319.627917,2,0.119011
402.8349,2,0.119579
298.767917,2,0.120115
598.357798,2,0.120655
725.157798,2,0.121194
554.011847,2,0.121739
290.462917,2,0.122273
872.261917,2,0.122811
404.5256,2,0.123353
826.899533,2,0.12389
827.5267,2,0.124432
353.862917,2,0.12497
917.16375,2,0.125511
784.699333,2,0.12605
255.24393,2,0.126586
832.90375,2,0.127122
490.611847,2,0.127662
575.18543,2,0.1282
625.083333,2,0.128735
432.0731,2,0.129299
871.63475,2,0.129845
287.473917,2,0.13038
625.083333,2,0.130921
666.803333,2,0.131468
290.462917,2,0.13201
610.655317,2,0.132768
492.305333,2,0.133459
672.998633,2,0.134078
896.30375,2,0.134696
575.18543,2,0.135288
255.24393,2,0.135858
826.899533,2,0.136423
606.7884,2,0.136985
0.0,2,0.137552
790.677333,2,0.13811
232.378917,2,0.138665
574.871847,2,0.139218
27.5475,2,0.139771
404.5256,2,0.140317
27.5475,2,0.140876
896.30375,2,0.141448
636.904517,2,0.142016
574.871847,2,0.142592
658.379533,2,0.143178
562.9311,2,0.143823
353.862917,2,0.144442
235.367917,2,0.145028
724.4671,2,0.145581
703.11475,2,0.146149
592.379798,2,0.146693
872.261917,2,0.147239
827.5267,2,0.14778
959.8245,2,0.148323
703.11475,2,0.148873
610.655317,2,0.149448
257.3578,2,0.150013
959.510917,2,0.150555
636.904517,2,0.151098
464.757833,2,0.151651
577.5502,2,0.152192
769.50375,2,0.152735
607.666317,2,0.153275
606.7884,2,0.153824
697.13675,2,0.154363
790.677333,2,0.154906
799.798633,2,0.155455
763.52575,2,0.156003
282.79143,2,0.15654
374.722917,2,0.157086
492.305333,2,0.157626
290.462917,2,0.158168
404.5256,2,0.158704
841.518633,2,0.159245
575.18543,2,0.159786
769.50375,2,0.160332
636.904517,2,0.160882
700.12575,2,0.161424
598.357798,2,0.16197
532.147565,2,0.162512
938.650917,2,0.163054
610.655317,2,0.163593
298.767917,2,0.164137
766.877798,2,0.164683
606.7884,2,0.165238
562.9311,2,0.165814
829.91475,2,0.166395
917.16375,2,0.16696
554.011847,2,0.167511
917.477333,2,0.168064
703.11475,2,0.168607
827.5267,2,0.169154
703.293517,2,0.169704
703.293517,2,0.170242
202.2628,2,0.170783
502.909365,2,0.171322
242.7387,2,0.171859
827.5267,2,0.172399
127.621965,2,0.17294
82.6425,2,0.173495
382.865895,2,0.174047
607.666317,2,0.174597
724.153517,2,0.175135
652.401533,2,0.175683
610.655317,2,0.176245
658.379533,2,0.176795
666.803333,2,0.177341
598.357798,2,0.17788
457.50673,2,0.178419
959.8245,2,0.178964
610.655317,2,0.1795
667.4305,2,0.180043
374.722917,2,0.180582
287.473917,2,0.181119
767.504965,2,0.181654
917.16375,2,0.182223
610.655317,2,0.182786
402.8349,2,0.183355
470.735833,2,0.183899
282.79143,2,0.184453
639.255833,2,0.185
577.5502,2,0.185547
187.6437,2,0.18609
725.157798,2,0.186644
319.9415,2,0.187212
432.0731,2,0.187762
674.055317,2,0.188301
790.677333,2,0.188845
319.9415,2,0.189385
242.7387,2,0.18992
785.179533,2,0.190455
799.798633,2,0.190997
282.79143,2,0.19154
938.02375,2,0.192084
255.24393,2,0.192621
769.50375,2,0.193163
872.261917,2,0.193704
470.735833,2,0.194239
577.5502,2,0.194779
784.38575,2,0.195342
959.197333,2,0.195882
799.798633,2,0.19642
610.655317,2,0.196952
574.871847,2,0.197496
725.157798,2,0.198038
242.7387,2,0.198615
55.095,2,0.199216
842.1458,2,0.199815
353.862917,2,0.200418
872.261917,2,0.200969
874.62375,2,0.201527
374.722917,2,0.202065
290.462917,2,0.202604
639.893517,2,0.203655
319.9415,2,0.204351
574.871847,2,0.20504
790.36375,2,0.205632
